Drug_Name,Target_Name,Mol_Desc_1,Mol_Desc_2,Mol_Desc_3,Mol_Desc_4,Mol_Desc_5,Mol_Desc_6,Mol_Desc_7,Mol_Desc_8,Mol_Desc_9,Mol_Desc_10,Mol_Desc_11,Mol_Desc_12,Mol_Desc_13,Mol_Desc_14,Mol_Desc_15,Mol_Desc_16,Mol_Desc_17,Mol_Desc_18,Mol_Desc_19,Mol_Desc_20,Prot_Desc_1,Prot_Desc_2,Prot_Desc_3,Prot_Desc_4,Prot_Desc_5,Prot_Desc_6,Prot_Desc_7,Prot_Desc_8,Prot_Desc_9,Prot_Desc_10,Prot_Desc_11,Prot_Desc_12,Prot_Desc_13,Prot_Desc_14,Prot_Desc_15,Prot_Desc_16,Prot_Desc_17,Prot_Desc_18,Prot_Desc_19,Prot_Desc_20,Binding_Affinity,Interaction_Label
Hydroxychloroquine,SCN4A,0.1214,0.6485,0.7846,0.2177,0.6957,0.0958,0.1087,0.5364,0.6511,0.5261,0.1883,0.043,0.483,0.7349,0.6585,0.1427,0.2656,0.1288,0.5963,0.6596,0.2165,0.7314,0.4083,0.5637,0.7497,0.7737,0.1483,0.8467,0.2739,0.3201,0.199,0.914,0.0437,0.566,0.5386,0.6897,0.4634,0.2046,0.2757,0.1817,13.38,1
Levobupivacaine,KCNH2,0.2815,0.9499,0.1152,0.6712,0.6471,0.4967,0.3526,0.3743,0.2982,0.6283,0.3372,0.1288,0.8427,0.7964,0.5325,0.4608,0.7956,0.6447,0.0956,0.9084,0.8325,0.075,0.3596,0.0564,0.824,0.89,0.1877,0.0439,0.6882,0.3343,0.0629,0.2427,0.8031,0.0834,0.9525,0.5095,0.0235,0.9795,0.2731,0.3391,813.2,0
Ibuprofen,SCN4A,0.0534,0.8576,0.5229,0.2044,0.7585,0.6663,0.7135,0.4553,0.4996,0.403,0.6797,0.5373,0.547,0.5682,0.2395,0.5302,0.2516,0.2717,0.7466,0.8793,0.5505,0.0547,0.6611,0.2584,0.6685,0.5769,0.3391,0.1993,0.9937,0.205,0.896,0.0292,0.5934,0.4404,0.7524,0.8808,0.3233,0.2023,0.3554,0.7193,409.38,1
Atorvastatin,TNF,0.6885,0.794,0.9594,0.49,0.0744,0.8189,0.3396,0.5962,0.4969,0.5862,0.722,0.4095,0.4225,0.3394,0.882,0.2463,0.3925,0.6553,0.9503,0.7856,0.429,0.7195,0.3384,0.9453,0.4422,0.2705,0.4339,0.6176,0.1704,0.1351,0.0814,0.3096,0.4909,0.5315,0.9879,0.9728,0.279,0.0467,0.8435,0.5342,489.53,1
Hydroxychloroquine,KCNH2,0.074,0.9516,0.3617,0.2599,0.2413,0.7973,0.3093,0.3985,0.1313,0.4841,0.886,0.4088,0.2039,0.5408,0.2776,0.9933,0.0689,0.7511,0.4433,0.9199,0.1823,0.077,0.5219,0.5142,0.5133,0.4976,0.322,0.311,0.6459,0.7217,0.8692,0.1082,0.4853,0.4954,0.9216,0.6815,0.2375,0.9491,0.6252,0.1728,538.67,0
Atorvastatin,KCNH2,0.2033,0.2308,0.2949,0.3128,0.7693,0.8242,0.4881,0.6207,0.3724,0.3973,0.3049,0.5415,0.7296,0.9783,0.4992,0.5775,0.4755,0.0238,0.9442,0.13,0.5657,0.224,0.4824,0.5358,0.2214,0.4744,0.059,0.4655,0.5001,0.4189,0.1395,0.0321,0.275,0.5546,0.0526,0.1169,0.5082,0.2306,0.9194,0.9818,510.26,0
Hydroxychloroquine,TNF,0.0929,0.6171,0.6012,0.6139,0.3706,0.4478,0.0212,0.4651,0.1193,0.0241,0.8527,0.2313,0.5001,0.8031,0.7078,0.5713,0.7241,0.3701,0.3846,0.7533,0.0953,0.5552,0.5041,0.55,0.6048,0.0976,0.4477,0.6162,0.4439,0.9783,0.8666,0.1224,0.1319,0.1526,0.319,0.3331,0.4788,0.7695,0.9419,0.1536,770.41,0
Ibuprofen,KCNH2,0.0632,0.8872,0.2211,0.0645,0.9108,0.8657,0.4911,0.6573,0.0571,0.8454,0.8241,0.1441,0.506,0.9996,0.1797,0.8739,0.5796,0.1501,0.5226,0.0357,0.8986,0.3432,0.725,0.6581,0.8938,0.8529,0.8807,0.3209,0.8844,0.5079,0.8323,0.0773,0.604,0.8214,0.0294,0.7203,0.8938,0.2104,0.7944,0.8829,584.83,0
Metformin,KCNH2,0.2678,0.6241,0.5559,0.012,0.5177,0.4446,0.99,0.2622,0.0556,0.9523,0.0102,0.0863,0.2547,0.1398,0.9213,0.5816,0.7426,0.5141,0.9479,0.791,0.558,0.3558,0.6298,0.8237,0.003,0.5631,0.6584,0.5463,0.8,0.7553,0.8213,0.6409,0.2349,0.5659,0.7772,0.0125,0.9921,0.8758,0.6164,0.8008,645.32,0
Hydroxychloroquine,SCN4A,0.5719,0.9774,0.1557,0.1306,0.001,0.1681,0.7993,0.1712,0.435,0.5299,0.6726,0.8796,0.1436,0.0993,0.117,0.4773,0.5601,0.0935,0.5337,0.8572,0.6734,0.95,0.5459,0.4111,0.4143,0.2297,0.0446,0.8837,0.2607,0.4428,0.7621,0.1807,0.869,0.1471,0.2597,0.2751,0.0289,0.0469,0.8115,0.3573,736.54,0
Atorvastatin,KCNH2,0.9647,0.1004,0.5798,0.1687,0.6988,0.3974,0.0705,0.0136,0.7296,0.4469,0.7671,0.7745,0.3163,0.7068,0.7511,0.4763,0.8942,0.9111,0.3897,0.7588,0.5631,0.6666,0.2201,0.2427,0.1097,0.3306,0.8633,0.6675,0.9928,0.1734,0.0903,0.6153,0.579,0.7181,0.8832,0.447,0.4679,0.2824,0.6651,0.9218,218.68,1
Ibuprofen,TNF,0.8756,0.4393,0.6024,0.1979,0.5135,0.34,0.6548,0.602,0.9845,0.7645,0.004,0.3715,0.8053,0.6643,0.85,0.7146,0.9855,0.1955,0.1829,0.8886,0.3324,0.9858,0.4947,0.0543,0.386,0.0967,0.1002,0.1375,0.9747,0.2875,0.2789,0.5412,0.3663,0.4078,0.9339,0.8921,0.5069,0.5351,0.0769,0.5344,875.63,0
Hydroxychloroquine,CYP2D6,0.8759,0.9774,0.4184,0.7739,0.3171,0.3922,0.4611,0.9808,0.5712,0.0128,0.4938,0.2754,0.6267,0.3179,0.6411,0.3492,0.748,0.7093,0.9634,0.415,0.562,0.2058,0.3758,0.64,0.1092,0.8548,0.235,0.4888,0.2313,0.3364,0.4603,0.4618,0.7489,0.6865,0.3697,0.189,0.6552,0.0102,0.4476,0.0883,973.76,0
Metformin,CYP2D6,0.1761,0.3796,0.3827,0.4469,0.0204,0.6586,0.8262,0.4204,0.2993,0.1385,0.9529,0.5191,0.3521,0.4353,0.0861,0.5106,0.4496,0.1666,0.1572,0.7571,0.0875,0.235,0.5675,0.3295,0.1484,0.6768,0.1056,0.9899,0.8579,0.112,0.4832,0.2031,0.2468,0.1278,0.6488,0.7524,0.9817,0.7633,0.7554,0.845,979.83,0
Metformin,CYP2D6,0.2649,0.7396,0.2455,0.4699,0.1987,0.6569,0.0985,0.2126,0.2071,0.2775,0.9536,0.0848,0.2957,0.182,0.0588,0.3232,0.4752,0.9656,0.5762,0.3544,0.8224,0.3835,0.088,0.7679,0.8165,0.5031,0.8619,0.495,0.6255,0.022,0.157,0.5763,0.8492,0.3647,0.0865,0.2896,0.8307,0.9826,0.0569,0.1362,835.73,0
Levobupivacaine,TNF,0.0764,0.0304,0.3309,0.6443,0.1616,0.2249,0.2327,0.0131,0.6948,0.084,0.7405,0.9176,0.0037,0.3753,0.7403,0.8936,0.6465,0.3226,0.9469,0.1553,0.0658,0.1565,0.2235,0.5444,0.6161,0.3618,0.5279,0.4807,0.4358,0.356,0.6475,0.6619,0.2413,0.252,0.9499,0.7065,0.4554,0.076,0.2798,0.1928,37.32,1
Levobupivacaine,CYP2D6,0.7785,0.6948,0.4983,0.7291,0.5829,0.3159,0.7911,0.5128,0.0518,0.0459,0.8317,0.5763,0.0308,0.9288,0.6919,0.2054,0.2093,0.8911,0.0105,0.3295,0.874,0.6064,0.9113,0.661,0.9561,0.1968,0.6994,0.9719,0.5516,0.7535,0.3827,0.4916,0.9251,0.776,0.5902,0.9945,0.8896,0.3488,0.6535,0.6042,418.3,1
Atorvastatin,SCN4A,0.0698,0.9346,0.2477,0.0035,0.7696,0.5954,0.8492,0.9927,0.2623,0.9388,0.3075,0.9311,0.4804,0.3629,0.9657,0.576,0.3157,0.3307,0.2071,0.2143,0.1341,0.3975,0.3955,0.8089,0.3314,0.8223,0.3238,0.9378,0.4515,0.2801,0.9251,0.1072,0.4101,0.4829,0.252,0.5769,0.6625,0.2296,0.3942,0.2706,77.54,1
Hydroxychloroquine,TNF,0.5567,0.3827,0.7828,0.8567,0.2346,0.0841,0.5293,0.9838,0.6885,0.1847,0.4611,0.9456,0.2563,0.2068,0.8504,0.3206,0.4271,0.4104,0.33,0.5359,0.6393,0.9181,0.5004,0.0169,0.6712,0.3854,0.9776,0.9929,0.3011,0.7993,0.9323,0.6235,0.0666,0.8642,0.3003,0.2397,0.0959,0.7909,0.3358,0.6944,660.57,0
Hydroxychloroquine,TNF,0.2479,0.0213,0.709,0.9884,0.6977,0.6887,0.0197,0.1014,0.445,0.5929,0.9953,0.5453,0.9368,0.2644,0.0725,0.553,0.1757,0.3056,0.7565,0.211,0.1819,0.6034,0.3159,0.5607,0.6458,0.5044,0.3781,0.2164,0.3578,0.7714,0.2344,0.7046,0.8776,0.5622,0.0158,0.5213,0.0784,0.1906,0.0467,0.5743,265.4,1
Levobupivacaine,TNF,0.2434,0.0279,0.2693,0.1218,0.8998,0.1789,0.8937,0.8164,0.5002,0.5387,0.8073,0.4976,0.5572,0.5032,0.3815,0.5212,0.0414,0.0616,0.1306,0.9589,0.4602,0.0053,0.4501,0.6234,0.3579,0.1298,0.8025,0.6932,0.1585,0.5533,0.4901,0.3697,0.9247,0.7194,0.3268,0.2065,0.2024,0.3701,0.8701,0.6758,62.87,1
Hydroxychloroquine,KCNH2,0.9907,0.892,0.0974,0.6511,0.6216,0.8507,0.3828,0.1733,0.9755,0.2862,0.0446,0.3028,0.902,0.4752,0.6043,0.4631,0.5509,0.0164,0.8087,0.5571,0.0091,0.5236,0.499,0.0615,0.6585,0.5977,0.5073,0.0633,0.6234,0.5966,0.9159,0.3015,0.8592,0.3116,0.5636,0.4225,0.3789,0.1173,0.4911,0.9411,562.93,0
Hydroxychloroquine,KCNH2,0.7568,0.7225,0.0002,0.0024,0.7756,0.4016,0.0397,0.8094,0.4046,0.6475,0.0545,0.8187,0.2031,0.0955,0.1044,0.4516,0.4581,0.2261,0.346,0.0109,0.6387,0.0474,0.6651,0.5228,0.4959,0.007,0.06,0.6776,0.4702,0.0046,0.5851,0.4447,0.3169,0.4618,0.3688,0.5264,0.2567,0.31,0.4557,0.9157,273.33,1
Metformin,KCNH2,0.8369,0.1067,0.5967,0.049,0.2042,0.2208,0.8188,0.8535,0.5951,0.3255,0.5796,0.9468,0.1229,0.1096,0.2389,0.441,0.8298,0.0494,0.8422,0.8633,0.9111,0.7283,0.8454,0.7886,0.8575,0.5361,0.6688,0.7843,0.4447,0.3068,0.5625,0.6336,0.6621,0.2196,0.6996,0.6956,0.5214,0.6159,0.3795,0.5889,897.68,0
Levobupivacaine,HMGCR,0.572,0.0546,0.2114,0.285,0.0749,0.6678,0.4181,0.0077,0.9986,0.4576,0.3733,0.1765,0.8332,0.2389,0.1438,0.4111,0.5942,0.1832,0.9364,0.6944,0.9719,0.686,0.1985,0.1732,0.625,0.8375,0.6166,0.7017,0.9982,0.7879,0.2717,0.9575,0.4554,0.2901,0.3866,0.1696,0.13,0.0738,0.3785,0.3851,606.23,0
Ibuprofen,SCN4A,0.871,0.8048,0.0126,0.8464,0.3654,0.554,0.19,0.2373,0.6864,0.3808,0.2361,0.7838,0.6094,0.7314,0.6025,0.1423,0.8082,0.5889,0.3501,0.4199,0.5588,0.5183,0.4028,0.5752,0.5514,0.1426,0.7207,0.2614,0.9778,0.2213,0.4459,0.3837,0.3665,0.7572,0.9678,0.0138,0.384,0.5675,0.7002,0.4606,457.22,1
Levobupivacaine,TNF,0.6455,0.8099,0.3591,0.6525,0.709,0.1719,0.8016,0.0566,0.5145,0.9107,0.3201,0.1828,0.7092,0.4507,0.7082,0.9277,0.3579,0.1256,0.6588,0.2259,0.7693,0.3365,0.7321,0.5535,0.7259,0.1862,0.8242,0.4959,0.237,0.7254,0.8385,0.0688,0.7672,0.8545,0.7638,0.8422,0.8197,0.0413,0.7194,0.4541,580.1,0
Ibuprofen,TNF,0.9462,0.1205,0.962,0.4458,0.6861,0.8272,0.4577,0.4989,0.3239,0.9305,0.959,0.1787,0.5521,0.1196,0.1826,0.9771,0.6444,0.8909,0.3259,0.6429,0.0773,0.4833,0.4593,0.4452,0.0833,0.5589,0.5497,0.8623,0.361,0.8151,0.9231,0.0734,0.9413,0.4119,0.1497,0.9027,0.8201,0.66,0.9346,0.4139,947.74,0
Metformin,KCNH2,0.2813,0.3015,0.6899,0.4386,0.9551,0.4533,0.6078,0.0267,0.9765,0.374,0.3216,0.2627,0.3575,0.6814,0.8599,0.4626,0.5744,0.8191,0.4164,0.3912,0.4858,0.9018,0.4327,0.9933,0.6264,0.7429,0.0391,0.397,0.7408,0.86,0.6186,0.7815,0.9474,0.3933,0.6251,0.9723,0.7785,0.2828,0.7022,0.0742,5.44,1
Atorvastatin,TNF,0.5953,0.78,0.8578,0.4661,0.63,0.1522,0.8231,0.6261,0.2938,0.247,0.3618,0.6918,0.2885,0.0129,0.2882,0.4443,0.85,0.2647,0.3561,0.2165,0.255,0.0983,0.7639,0.4722,0.1218,0.0768,0.3437,0.9686,0.5982,0.5087,0.7706,0.1744,0.8769,0.395,0.1394,0.5066,0.1528,0.2943,0.2328,0.3358,519.3,0
Hydroxychloroquine,TNF,0.6901,0.5254,0.1447,0.311,0.4113,0.7962,0.5224,0.5583,0.1158,0.7365,0.4513,0.0701,0.0953,0.5956,0.864,0.4025,0.6493,0.3016,0.3238,0.5392,0.9185,0.2701,0.5724,0.9829,0.2562,0.5475,0.0222,0.9341,0.2858,0.1951,0.8836,0.595,0.3732,0.2528,0.2816,0.3776,0.2249,0.1541,0.7914,0.3108,691.91,0
Metformin,CYP2D6,0.3929,0.9566,0.0733,0.8777,0.7971,0.1334,0.1105,0.3794,0.9259,0.3151,0.1609,0.3198,0.0797,0.3461,0.6594,0.2182,0.0317,0.795,0.4777,0.1753,0.5063,0.6706,0.568,0.2849,0.6051,0.0442,0.5557,0.1848,0.9995,0.9541,0.9406,0.185,0.5678,0.7046,0.1601,0.5019,0.5271,0.2648,0.0381,0.7632,104.83,1
Hydroxychloroquine,TNF,0.8797,0.4811,0.0115,0.5679,0.1531,0.968,0.9638,0.4618,0.319,0.4809,0.3893,0.5249,0.4501,0.0484,0.6948,0.0762,0.5536,0.5825,0.0079,0.0798,0.6693,0.2928,0.8839,0.6935,0.5254,0.4195,0.1576,0.7726,0.0989,0.4963,0.3672,0.6296,0.4881,0.2483,0.8896,0.222,0.175,0.6638,0.7311,0.0364,403.59,1
Atorvastatin,HMGCR,0.9798,0.677,0.9557,0.4839,0.813,0.4418,0.2865,0.9901,0.5889,0.5438,0.6466,0.7967,0.2925,0.1231,0.3582,0.0233,0.6447,0.8787,0.2736,0.59,0.0624,0.5823,0.5999,0.4294,0.0973,0.4451,0.5816,0.1574,0.7082,0.7061,0.0736,0.4927,0.6905,0.4633,0.7998,0.7148,0.7551,0.5967,0.828,0.9808,180.28,1
Atorvastatin,KCNH2,0.4938,0.5098,0.3002,0.4651,0.3659,0.7282,0.9942,0.1677,0.6459,0.9869,0.2592,0.3335,0.5791,0.7484,0.8611,0.564,0.718,0.6269,0.6828,0.2099,0.4506,0.5727,0.1311,0.2848,0.8452,0.4629,0.9687,0.0812,0.972,0.3555,0.7945,0.2174,0.1293,0.6637,0.3787,0.6203,0.7804,0.5003,0.9618,0.3673,986.96,0
Metformin,SCN4A,0.3906,0.943,0.4595,0.9358,0.154,0.452,0.006,0.731,0.2609,0.383,0.6229,0.4981,0.7087,0.2466,0.6257,0.7085,0.679,0.072,0.2511,0.2122,0.0015,0.2809,0.6682,0.3737,0.0679,0.0185,0.8526,0.7327,0.1901,0.1231,0.5948,0.3273,0.5585,0.1411,0.163,0.5603,0.6653,0.1813,0.5106,0.3836,891.88,0
Atorvastatin,SCN4A,0.4719,0.3987,0.3945,0.7237,0.1621,0.1876,0.4838,0.6453,0.4234,0.4099,0.2447,0.6292,0.6546,0.2728,0.4683,0.0921,0.9365,0.996,0.231,0.7246,0.6722,0.108,0.6555,0.2708,0.2125,0.0738,0.3001,0.0216,0.1539,0.9353,0.0273,0.4076,0.2501,0.9385,0.2686,0.6097,0.1564,0.2847,0.3329,0.5949,169.6,1
Ibuprofen,CYP2D6,0.8527,0.2298,0.7305,0.1448,0.9836,0.7581,0.7049,0.6637,0.1555,0.0682,0.7867,0.2563,0.8831,0.4874,0.1948,0.4886,0.4475,0.5671,0.2914,0.9403,0.5148,0.7707,0.1912,0.6412,0.54,0.8306,0.2333,0.2244,0.6771,0.29,0.8608,0.8385,0.649,0.776,0.811,0.4974,0.4905,0.3041,0.8455,0.6042,630.58,0
Atorvastatin,SCN4A,0.6455,0.3266,0.31,0.437,0.6232,0.2894,0.9063,0.3457,0.8845,0.6629,0.9375,0.9299,0.7347,0.1561,0.063,0.1701,0.028,0.0165,0.9734,0.3081,0.8741,0.1899,0.59,0.4357,0.9452,0.9748,0.9695,0.8757,0.5632,0.8228,0.4088,0.1532,0.9193,0.7399,0.4904,0.3215,0.9266,0.1699,0.2465,0.0294,255.66,1
Hydroxychloroquine,SCN4A,0.0448,0.8528,0.5355,0.2884,0.1743,0.6824,0.7803,0.2165,0.5845,0.191,0.4444,0.3618,0.3943,0.9689,0.9619,0.1554,0.0604,0.3594,0.5203,0.1083,0.8701,0.3196,0.7285,0.5251,0.5597,0.2637,0.6279,0.4328,0.4171,0.6261,0.3062,0.5571,0.6329,0.6817,0.8582,0.2788,0.1748,0.1639,0.2993,0.1222,69.75,1
Hydroxychloroquine,KCNH2,0.5422,0.4979,0.9956,0.9869,0.2686,0.2574,0.2556,0.6508,0.8903,0.6136,0.9635,0.7474,0.3607,0.3801,0.9702,0.7348,0.2416,0.5861,0.7516,0.4048,0.2039,0.7369,0.6884,0.3329,0.9588,0.6612,0.8544,0.822,0.7656,0.5623,0.2619,0.8791,0.7228,0.1134,0.662,0.1483,0.3552,0.7939,0.366,0.8992,72.66,1
Hydroxychloroquine,KCNH2,0.0173,0.3543,0.4441,0.4154,0.3721,0.2411,0.2433,0.9127,0.2571,0.242,0.6644,0.6672,0.0604,0.446,0.546,0.9219,0.0305,0.6346,0.1434,0.2826,0.728,0.1046,0.6297,0.4833,0.2063,0.0601,0.0173,0.1345,0.2916,0.9114,0.5062,0.6291,0.9451,0.0242,0.9531,0.9812,0.6847,0.4806,0.7028,0.675,648.34,0
Hydroxychloroquine,HMGCR,0.7785,0.5443,0.5513,0.0679,0.0559,0.4574,0.3566,0.976,0.634,0.9445,0.7116,0.6417,0.5515,0.0727,0.4165,0.9062,0.2446,0.8019,0.2856,0.328,0.4402,0.3716,0.0873,0.2333,0.4688,0.4292,0.0147,0.43,0.0668,0.4017,0.2577,0.2897,0.8685,0.6371,0.6179,0.9827,0.6184,0.046,0.6047,0.8171,499.16,1
Ibuprofen,CYP2D6,0.3283,0.1332,0.5025,0.4112,0.1084,0.8162,0.1105,0.4809,0.218,0.0806,0.5113,0.4084,0.6785,0.5576,0.8169,0.2838,0.0875,0.513,0.7708,0.9166,0.8938,0.375,0.6942,0.5465,0.9885,0.3232,0.6493,0.5567,0.0497,0.3806,0.7401,0.1605,0.8262,0.433,0.7527,0.7189,0.4414,0.7701,0.3972,0.2686,782.38,0
Levobupivacaine,SCN4A,0.472,0.0054,0.8032,0.3214,0.7618,0.6136,0.6696,0.4256,0.289,0.9298,0.2275,0.8656,0.3183,0.7979,0.4073,0.2587,0.2194,0.3165,0.6923,0.4757,0.1575,0.0505,0.4812,0.4637,0.9056,0.6286,0.3231,0.2226,0.3681,0.6216,0.6523,0.1712,0.0499,0.1396,0.1354,0.2113,0.4017,0.006,0.5815,0.3607,814.88,0
Metformin,HMGCR,0.7987,0.2806,0.2668,0.5996,0.7869,0.0647,0.9413,0.3489,0.3611,0.5507,0.9397,0.7838,0.8464,0.4215,0.434,0.5077,0.1058,0.6082,0.7276,0.2426,0.6665,0.9418,0.2527,0.0542,0.944,0.7661,0.2027,0.9651,0.3849,0.3194,0.7103,0.2923,0.3342,0.6671,0.7306,0.2438,0.9325,0.7686,0.1287,0.5901,715.55,0
Hydroxychloroquine,CYP2D6,0.0464,0.605,0.1704,0.2261,0.9882,0.7339,0.6421,0.81,0.5494,0.9371,0.9698,0.5639,0.3616,0.1659,0.8964,0.9687,0.0629,0.2966,0.4377,0.7753,0.2989,0.3203,0.2043,0.5506,0.9005,0.1836,0.9828,0.7957,0.8484,0.5488,0.9046,0.8871,0.5673,0.5318,0.9042,0.1098,0.3356,0.8296,0.198,0.4216,237.22,1
Atorvastatin,SCN4A,0.1585,0.7117,0.7541,0.036,0.0676,0.5798,0.5334,0.2554,0.5558,0.4931,0.842,0.3131,0.3572,0.0254,0.3243,0.0439,0.0606,0.331,0.8038,0.6584,0.5749,0.7408,0.2476,0.5342,0.305,0.6835,0.4088,0.2899,0.667,0.19,0.0403,0.6282,0.7666,0.0169,0.875,0.2391,0.7774,0.4145,0.182,0.9917,778.77,0
Hydroxychloroquine,SCN4A,0.398,0.8266,0.4156,0.0959,0.8892,0.6236,0.5033,0.513,0.2003,0.045,0.4635,0.5591,0.3173,0.3473,0.2629,0.9327,0.4655,0.2725,0.7235,0.5705,0.0533,0.1754,0.8595,0.9905,0.5973,0.932,0.8065,0.1127,0.9282,0.0236,0.1536,0.4632,0.7095,0.147,0.4809,0.5163,0.0886,0.3993,0.3263,0.6394,318.86,1
Atorvastatin,KCNH2,0.2299,0.9267,0.9137,0.2831,0.3172,0.3536,0.5926,0.3451,0.0461,0.1979,0.1712,0.0868,0.0941,0.8611,0.9433,0.1499,0.2592,0.3218,0.6113,0.2543,0.0256,0.8012,0.1103,0.3326,0.7236,0.7835,0.9243,0.5519,0.7365,0.5969,0.9055,0.3474,0.7245,0.8545,0.2927,0.7705,0.7483,0.5682,0.7861,0.8787,513.91,0
